"","1","挨","挨","āi","get close to; in sequence",""
"","2","癌症","癌症","ái zhèng","cancer",""
"","3","爱不释手","愛不釋手","ài bú shì shǒu","love something too much to part with it",""
"","4","爱戴","愛戴","ài dài","love and respect",""
"","5","暧昧","暧昧","ài mèi","ambiguous; shady",""
"","6","安宁","安甯","ān níng","peaceful; calm; tranquil; composed",""
"","7","安详","安詳","ān xiáng","serene; composed",""
"","8","安置","安置","ān zhì","find a place for; help settle down; arrange for",""
"","9","按摩","按摩","àn mó","massage",""
"","10","案件","案件","àn jiàn","legal case; judicial case",""
"","11","案例","案例","àn lì","(Law) case",""
"","12","暗示","暗示","àn shì","drop a hint; suggest",""
"","13","昂贵","昂貴","áng guì","expensive; costly",""
"","14","凹凸","凹凸","āo tū","(of a surface) uneven; bumpy",""
"","15","熬","熬","áo","endure; to boil",""
"","16","奥秘","奧秘","ào mì","mystery; enigma; profound; deep",""
"","17","巴不得","巴不得","bā bù dé","eagerly look forward to; earnestly wish; be only too anxious to",""
"","18","巴结","巴結","bā jie","to fawn on; curry favor with",""
"","19","扒","扒","bā","dig up; pull down; take off",""
"","20","疤","疤","bā","scar",""
"","21","拔苗助长","拔苗助長","bá miáo zhù zhǎng","(literally) help shoots grow by pulling them out; spoil things by excessive enthusiasm",""
"","22","把关","把關","bǎ guān","guard a pass; check on",""
"","23","把手","把手","bǎ shou","knob; handle; grip",""
"","24","罢工","罷工","bà gōng","to strike; go on strike",""
"","25","霸道","霸道","bà dào","overbearing; despotic hegemony; rule by force; (of liquor, medicine, etc.) strong",""
"","26","掰","掰","bāi","break with both hands",""
"","27","摆脱","擺脫","bǎi tuō","break away; free oneself from; cast off",""
"","28","败坏","敗壞","bài huài","ruin; corrupt; undermine",""
"","29","拜访","拜訪","bài fǎng","pay a visit; call on",""
"","30","拜年","拜年","bài nián","congratulate the New Year; wish sb. a Happy New Year",""
"","31","拜托","拜托","bài tuō","ask a favor; request; please!",""
"","32","颁布","頒布","bān bù","promulgate; to issue; publish (e.g a decree)",""
"","33","颁发","頒發","bān fā","issue; promulgate; award",""
"","34","斑","斑","bān","variety; speckled; spot; colored patch; stripe",""
"","35","版本","版本","bǎn běn","edition",""
"","36","半途而废","半途而廢","bàn tú ér fèi","give up halfway; leave sth. unfinished",""
"","37","扮演","扮演","bàn yǎn","play the part of; act",""
"","38","伴侣","伴侶","bàn lǚ","companion; partner; mate",""
"","39","伴随","伴隨","bàn suí","accompany; go with; follow",""
"","40","绑架","綁架","bǎng jià","kidnap; staking",""
"","41","榜样","榜樣","bǎng yàng","example; model",""
"","42","磅","磅","bàng","pound; weigh; scale",""
"","43","包庇","包庇","bāo bì","to shield; to harbor; cover up",""
"","44","包袱","包袱","bāo fu","bundle wrapped in cloth; cloth-wrapper",""
"","45","包围","包圍","bāo wéi","surround; encircle; hem in",""
"","46","包装","包裝","bāo zhuāng","to pack; package; make up",""
"","47","饱和","飽和","bǎo hé","saturation",""
"","48","饱经沧桑","飽經滄桑","bǎo jīng cāng sāng","experienced many changes",""
"","49","保管","保管","bǎo guǎn","assure; take care of; surely",""
"","50","保密","保密","bǎo mì","keep secret/confidential",""
"","51","保姆","保姆","bǎo mǔ","nanny; housekeeper",""
"","52","保守","保守","bǎo shǒu","conservative (ideas, estimates, politically, etc.); to guard; to keep",""
"","53","保卫","保衛","bǎo wèi","defend; to safeguard",""
"","54","保养","保養","bǎo yǎng","take good care of (or conserve) one's health; keep in good repair",""
"","55","保障","保障","bǎo zhàng","ensure; to guarantee; protect",""
"","56","保重","保重","bǎo zhòng","take care (of oneself)",""
"","57","报仇","報仇","bào chóu","retaliate; to revenge; avenge",""
"","58","报酬","報酬","bào chou","reward; remuneration",""
"","59","报答","報答","bào dá","repay; requite",""
"","60","报复","報複","bào fu","retaliate; revenge",""
"","61","报警","報警","bào jǐng","report (an incident) to the police",""
"","62","报销","報銷","bào xiāo","submit an expense account; apply for reimbursement; write off",""
"","63","抱负","抱負","bào fù","aspiration; ambition",""
"","64","暴力","暴力","bào lì","violence; (use) force",""
"","65","暴露","暴露","bào lù","expose; reveal; lay bare",""
"","66","曝光","曝光","bào guāng","to expose; to make public",""
"","67","爆发","爆發","bào fā","break out; erupt; explode",""
"","68","爆炸","爆炸","bào zhà","explode; explosion; blow up",""
"","69","卑鄙","卑鄙","bēi bǐ","base; mean; despicable; contemptible; unprincipled",""
"","70","悲哀","悲哀","bēi āi","grieved; sorrowful; sad",""
"","71","悲惨","悲慘","bēi cǎn","miserable; tragic",""
"","72","北极","北極","běi jí","the North Pole",""
"","73","贝壳","貝殼","bèi ké","shell; conch; cowry",""
"","74","备份","備份","bèi fèn","to back up; a backup",""
"","75","备忘录","備忘錄","bèi wàng lù","memorandum; aide-memoire; diplomacy memorandum; memorandum book",""
"","76","背叛","背叛","bèi pàn","betray; forsake",""
"","77","背诵","背誦","bèi sòng","recite",""
"","78","被动","被動","bèi dòng","passive",""
"","79","被告","被告","bèi gào","defendant",""
"","80","奔波","奔波","bēn bō","rush about; be busy running about",""
"","81","奔驰","奔馳","bēn chí","run quickly; speed; Mercedes-Benz (German vehicle manufacturer)",""
"","82","本能","本能","běn néng","instinct",""
"","83","本钱","本錢","běn qián","capital (financial)",""
"","84","本人","本人","běn rén","I; me; myself; oneself; in person",""
"","85","本身","本身","běn shēn","itself; in itself; per se",""
"","86","本事","本事","běn shi","ability; skill; capability; (-shì: this matter; literary source)",""
"","87","笨拙","笨拙","bèn zhuō","clumsy; awkward; stupid",""
"","88","崩溃","崩潰","bēng kuì","collapse; crumble; fall apart",""
"","89","甭","甭","béng","need not; (contraction of 不 and 用)",""
"","90","迸发","迸發","bèng fā","burst forth; burst out",""
"","91","蹦","蹦","bèng","jump; bounce; hop",""
"","92","逼迫","逼迫","bī pò","to force; compel; coerce",""
